user_id,name,role,email,active
U0001,User_1,Logistics Coordinator,user1@portauthority.com,No
U0002,User_2,Administrator,user2@portauthority.com,No
U0003,User_3,Crane Operator,user3@portauthority.com,Yes
U0004,User_4,Maintenance Engineer,user4@portauthority.com,Yes
U0005,User_5,Crane Operator,user5@portauthority.com,Yes
U0006,User_6,Administrator,user6@portauthority.com,Yes
U0007,User_7,Security Officer,user7@portauthority.com,Yes
U0008,User_8,Crane Operator,user8@portauthority.com,Yes
U0009,User_9,Harbourmaster,user9@portauthority.com,No
U0010,User_10,Stevedore,user10@portauthority.com,No
U0011,User_11,Stevedore,user11@portauthority.com,No
U0012,User_12,Security Officer,user12@portauthority.com,Yes
U0013,User_13,Logistics Coordinator,user13@portauthority.com,Yes
U0014,User_14,Security Officer,user14@portauthority.com,Yes
U0015,User_15,Stevedore,user15@portauthority.com,Yes
U0016,User_16,Administrator,user16@portauthority.com,No
U0017,User_17,Administrator,user17@portauthority.com,Yes
U0018,User_18,Harbourmaster,user18@portauthority.com,No
U0019,User_19,Harbourmaster,user19@portauthority.com,Yes
U0020,User_20,Harbourmaster,user20@portauthority.com,Yes
U0021,User_21,Harbourmaster,user21@portauthority.com,No
U0022,User_22,Logistics Coordinator,user22@portauthority.com,No
U0023,User_23,Maintenance Engineer,user23@portauthority.com,Yes
U0024,User_24,Stevedore,user24@portauthority.com,Yes
U0025,User_25,Maintenance Engineer,user25@portauthority.com,No
U0026,User_26,Security Officer,user26@portauthority.com,No
U0027,User_27,Logistics Coordinator,user27@portauthority.com,Yes
U0028,User_28,Stevedore,user28@portauthority.com,Yes
U0029,User_29,Security Officer,user29@portauthority.com,Yes
U0030,User_30,Maintenance Engineer,user30@portauthority.com,No
U0031,User_31,Security Officer,user31@portauthority.com,Yes
U0032,User_32,Maintenance Engineer,user32@portauthority.com,No
U0033,User_33,Crane Operator,user33@portauthority.com,No
U0034,User_34,Harbourmaster,user34@portauthority.com,Yes
U0035,User_35,Stevedore,user35@portauthority.com,Yes
U0036,User_36,Security Officer,user36@portauthority.com,Yes
U0037,User_37,Security Officer,user37@portauthority.com,No
U0038,User_38,Administrator,user38@portauthority.com,Yes
U0039,User_39,Logistics Coordinator,user39@portauthority.com,Yes
U0040,User_40,Crane Operator,user40@portauthority.com,Yes
U0041,User_41,Stevedore,user41@portauthority.com,Yes
U0042,User_42,Administrator,user42@portauthority.com,Yes
U0043,User_43,Maintenance Engineer,user43@portauthority.com,No
U0044,User_44,Logistics Coordinator,user44@portauthority.com,Yes
U0045,User_45,Stevedore,user45@portauthority.com,Yes
U0046,User_46,Harbourmaster,user46@portauthority.com,No
U0047,User_47,Crane Operator,user47@portauthority.com,Yes
U0048,User_48,Logistics Coordinator,user48@portauthority.com,No
U0049,User_49,Crane Operator,user49@portauthority.com,No
U0050,User_50,Harbourmaster,user50@portauthority.com,Yes
U0051,User_51,Maintenance Engineer,user51@portauthority.com,Yes
U0052,User_52,Security Officer,user52@portauthority.com,Yes
U0053,User_53,Stevedore,user53@portauthority.com,Yes
U0054,User_54,Logistics Coordinator,user54@portauthority.com,Yes
U0055,User_55,Harbourmaster,user55@portauthority.com,Yes
U0056,User_56,Maintenance Engineer,user56@portauthority.com,No
U0057,User_57,Security Officer,user57@portauthority.com,No
U0058,User_58,Logistics Coordinator,user58@portauthority.com,Yes
U0059,User_59,Maintenance Engineer,user59@portauthority.com,No
U0060,User_60,Stevedore,user60@portauthority.com,Yes
U0061,User_61,Crane Operator,user61@portauthority.com,Yes
U0062,User_62,Harbourmaster,user62@portauthority.com,Yes
U0063,User_63,Maintenance Engineer,user63@portauthority.com,No
U0064,User_64,Administrator,user64@portauthority.com,Yes
U0065,User_65,Logistics Coordinator,user65@portauthority.com,Yes
U0066,User_66,Harbourmaster,user66@portauthority.com,No
U0067,User_67,Security Officer,user67@portauthority.com,No
U0068,User_68,Harbourmaster,user68@portauthority.com,No
U0069,User_69,Stevedore,user69@portauthority.com,Yes
U0070,User_70,Security Officer,user70@portauthority.com,No
U0071,User_71,Stevedore,user71@portauthority.com,No
U0072,User_72,Crane Operator,user72@portauthority.com,Yes
U0073,User_73,Logistics Coordinator,user73@portauthority.com,Yes
U0074,User_74,Maintenance Engineer,user74@portauthority.com,No
U0075,User_75,Crane Operator,user75@portauthority.com,Yes
U0076,User_76,Crane Operator,user76@portauthority.com,Yes
U0077,User_77,Harbourmaster,user77@portauthority.com,Yes
U0078,User_78,Crane Operator,user78@portauthority.com,Yes
U0079,User_79,Harbourmaster,user79@portauthority.com,No
U0080,User_80,Logistics Coordinator,user80@portauthority.com,No
U0081,User_81,Stevedore,user81@portauthority.com,No
U0082,User_82,Stevedore,user82@portauthority.com,No
U0083,User_83,Security Officer,user83@portauthority.com,Yes
U0084,User_84,Administrator,user84@portauthority.com,Yes
U0085,User_85,Security Officer,user85@portauthority.com,Yes
U0086,User_86,Harbourmaster,user86@portauthority.com,No
U0087,User_87,Administrator,user87@portauthority.com,No
U0088,User_88,Administrator,user88@portauthority.com,Yes
U0089,User_89,Security Officer,user89@portauthority.com,No
U0090,User_90,Administrator,user90@portauthority.com,No
U0091,User_91,Crane Operator,user91@portauthority.com,Yes
U0092,User_92,Maintenance Engineer,user92@portauthority.com,No
U0093,User_93,Maintenance Engineer,user93@portauthority.com,Yes
U0094,User_94,Stevedore,user94@portauthority.com,No
U0095,User_95,Logistics Coordinator,user95@portauthority.com,Yes
U0096,User_96,Security Officer,user96@portauthority.com,Yes
U0097,User_97,Security Officer,user97@portauthority.com,Yes
U0098,User_98,Logistics Coordinator,user98@portauthority.com,Yes
U0099,User_99,Harbourmaster,user99@portauthority.com,No
U0100,User_100,Maintenance Engineer,user100@portauthority.com,Yes
U0101,User_101,Logistics Coordinator,user101@portauthority.com,No
U0102,User_102,Logistics Coordinator,user102@portauthority.com,Yes
U0103,User_103,Logistics Coordinator,user103@portauthority.com,No
U0104,User_104,Stevedore,user104@portauthority.com,Yes
U0105,User_105,Security Officer,user105@portauthority.com,Yes
U0106,User_106,Maintenance Engineer,user106@portauthority.com,No
U0107,User_107,Stevedore,user107@portauthority.com,Yes
U0108,User_108,Crane Operator,user108@portauthority.com,No
U0109,User_109,Stevedore,user109@portauthority.com,Yes
U0110,User_110,Harbourmaster,user110@portauthority.com,No
U0111,User_111,Maintenance Engineer,user111@portauthority.com,No
U0112,User_112,Stevedore,user112@portauthority.com,No
U0113,User_113,Administrator,user113@portauthority.com,Yes
U0114,User_114,Logistics Coordinator,user114@portauthority.com,No
U0115,User_115,Administrator,user115@portauthority.com,Yes
U0116,User_116,Administrator,user116@portauthority.com,No
U0117,User_117,Stevedore,user117@portauthority.com,No
U0118,User_118,Maintenance Engineer,user118@portauthority.com,No
U0119,User_119,Maintenance Engineer,user119@portauthority.com,Yes
U0120,User_120,Administrator,user120@portauthority.com,Yes
U0121,User_121,Logistics Coordinator,user121@portauthority.com,No
U0122,User_122,Security Officer,user122@portauthority.com,Yes
U0123,User_123,Crane Operator,user123@portauthority.com,No
U0124,User_124,Administrator,user124@portauthority.com,No
U0125,User_125,Maintenance Engineer,user125@portauthority.com,Yes
U0126,User_126,Administrator,user126@portauthority.com,Yes
U0127,User_127,Security Officer,user127@portauthority.com,No
U0128,User_128,Maintenance Engineer,user128@portauthority.com,Yes
U0129,User_129,Security Officer,user129@portauthority.com,No
U0130,User_130,Harbourmaster,user130@portauthority.com,Yes
U0131,User_131,Logistics Coordinator,user131@portauthority.com,No
U0132,User_132,Logistics Coordinator,user132@portauthority.com,Yes
U0133,User_133,Crane Operator,user133@portauthority.com,No
U0134,User_134,Stevedore,user134@portauthority.com,Yes
U0135,User_135,Security Officer,user135@portauthority.com,Yes
U0136,User_136,Stevedore,user136@portauthority.com,No
U0137,User_137,Stevedore,user137@portauthority.com,Yes
U0138,User_138,Maintenance Engineer,user138@portauthority.com,No
U0139,User_139,Maintenance Engineer,user139@portauthority.com,Yes
U0140,User_140,Administrator,user140@portauthority.com,Yes
U0141,User_141,Crane Operator,user141@portauthority.com,No
U0142,User_142,Crane Operator,user142@portauthority.com,No
U0143,User_143,Crane Operator,user143@portauthority.com,Yes
U0144,User_144,Harbourmaster,user144@portauthority.com,No
U0145,User_145,Crane Operator,user145@portauthority.com,No
U0146,User_146,Logistics Coordinator,user146@portauthority.com,Yes
U0147,User_147,Logistics Coordinator,user147@portauthority.com,No
U0148,User_148,Logistics Coordinator,user148@portauthority.com,No
U0149,User_149,Administrator,user149@portauthority.com,Yes
U0150,User_150,Stevedore,user150@portauthority.com,No
